Economy,2018,2019,2020,2021,2022,2023
Algeria,0.04,0.04,0.04,0.04,0.05,0.04
Angola,0.29,0.32,0.37,0.38,0.39,
Benin,0.19,0.21,0.22,0.31,0.34,
Botswana,0.58,0.65,0.68,0.75,0.77,
Burkina Faso,0.09,0.09,0.16,0.18,0.2,
Burundi,0.04,0.06,0.09,0.1,0.11,
Cabo Verde,0.6,0.62,0.69,0.71,0.72,
Cameroon,0.3,0.37,0.41,0.43,0.44,
Central African Rep.,0.05,0.08,,,,
Chad,0.07,0.08,0.08,0.11,0.12,
Congo,,,0.25,0.33,0.36,
Côte d'Ivoire,0.38,0.36,0.36,0.39,0.38,
Dem. Rep. Congo,0.12,0.17,0.2,0.26,0.27,
Djibouti,0.1,0.09,0.09,0.05,0.09,0.09
Egypt,0.01,0.03,0.03,0.03,0.03,0.03
Eq. Guinea,,0.49,0.55,0.61,0.67,
Eritrea,0.05,0.11,0.24,0.25,0.27,
Eswatini,0.39,0.44,0.49,0.56,0.58,
Ethiopia,0.16,0.16,0.16,0.17,0.19,
Gabon,0.6,0.69,0.72,0.73,0.74,
Gambia,0.28,0.36,0.45,0.5,0.54,
Ghana,0.43,0.22,0.63,0.69,0.7,
Guinea,0.22,0.23,0.29,0.31,0.34,
Guinea-Bissau,0.16,0.23,0.28,0.29,0.32,
Kenya,0.2,0.23,0.28,0.38,0.41,
Lesotho,0.41,0.42,0.4,0.44,0.47,
Liberia,0.19,0.24,0.28,0.28,0.3,
Libya,0.04,,0.03,0.02,0.04,0.01
Madagascar,0.09,0.12,0.16,0.18,0.21,
Malawi,0.08,0.13,0.22,0.27,0.28,
Mali,0.21,0.22,0.28,0.31,0.33,
Mauritania,0.32,0.32,0.32,0.23,0.19,0.19
Mauritius,0.59,0.62,0.68,0.72,0.76,
Morocco,0.04,0.04,0.04,0.04,0.04,0.04
Mozambique,0.11,0.15,0.18,0.2,0.21,
Namibia,0.43,0.5,0.58,0.61,0.62,
Niger,,0.17,0.14,0.15,0.17,
Nigeria,0.28,0.3,0.32,0.32,0.36,
Rwanda,0.19,0.21,0.24,0.29,0.34,
Sao Tome and Principe,0.38,0.44,0.52,0.56,0.57,
Senegal,0.35,0.43,0.53,0.55,0.6,
Seychelles,0.69,0.77,0.85,0.81,0.87,
Sierra Leone,0.16,0.21,0.28,0.28,0.3,
Somaliland,,,,,0.39,0.8
South Africa,0.62,0.7,0.72,0.74,0.75,
S. Sudan,0.05,0.07,0.09,0.1,0.12,
Sudan,0.08,,,,,
Tanzania,0.17,0.18,0.26,0.3,0.32,
Togo,0.16,0.21,0.29,0.33,0.38,
Tunisia,0.01,0.04,0.03,0.03,0.03,0.03
Uganda,,,0.07,0.1,,
Zambia,0.14,0.19,0.25,0.27,0.31,
Zimbabwe,0.25,0.27,0.29,0.33,0.33,
