Economy,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,0.8,0.83,0.87,0.87,0.91,
Argentina,0.78,0.8,0.86,0.87,0.88,
Bahamas,0.83,0.91,0.92,0.94,0.94,
Barbados,0.72,0.73,0.73,0.75,0.76,
Belize,0.5,0.53,0.57,0.65,0.7,
Bolivia (Plurinational State of),0.44,0.48,0.6,0.66,0.73,
Brazil,0.7,0.74,0.81,0.81,0.81,
Canada,0.95,0.92,0.92,0.93,0.94,
Chile,0.85,0.85,0.88,0.89,0.91,
Colombia,0.64,0.65,0.7,0.73,0.73,
Costa Rica,0.74,0.81,0.81,0.83,0.83,
Cuba,0.63,0.68,0.71,,0.73,
Dominica,,0.73,0.76,0.82,0.83,
Dominican Rep.,0.75,0.8,0.82,0.85,0.89,
Ecuador,0.58,0.59,0.71,0.7,0.7,0.73
El Salvador,0.44,0.51,0.55,0.59,0.63,
Grenada,0.61,0.7,0.73,0.71,0.8,
Guatemala,0.42,0.44,0.48,0.51,0.54,
Guyana,0.51,0.61,0.73,0.81,0.85,
Haiti,0.33,0.39,,,,
Honduras,0.36,0.39,0.45,0.52,0.6,
Jamaica,0.68,0.71,0.76,0.82,0.85,
Mexico,0.57,0.7,0.72,0.76,0.79,
Nicaragua,0.38,0.45,0.55,0.55,0.61,
Panama,0.62,0.64,0.73,0.73,0.74,
Paraguay,0.65,0.69,0.74,0.77,0.76,
Peru,0.55,0.6,0.65,0.71,0.75,
Saint Kitts and Nevis,0.69,0.69,0.7,0.69,0.77,
Saint Lucia,0.69,0.73,0.76,0.75,0.74,
Saint Vincent and the Grenadines,0.56,0.74,0.77,0.79,0.78,
Suriname,0.55,0.62,0.7,0.72,0.76,
Trinidad and Tobago,0.73,0.75,0.77,0.79,0.8,
United States of America,0.89,0.89,0.97,0.97,0.97,
Uruguay,0.81,0.83,0.86,0.88,0.9,
