Economy,2018,2019,2020,2021,2022,2023
Algeria,0.49,0.59,0.61,0.66,0.71,
Bahrain,0.99,1.00,1.00,1.00,1.00,
Comoros,,0.16,,,,
Djibouti,0.58,0.59,0.63,0.64,0.65,
Egypt,0.47,0.57,0.72,0.72,0.72,
Iraq,0.34,0.44,0.54,0.65,0.79,
Jordan,0.65,0.70,0.78,0.86,0.91,
Kuwait,1.00,1.00,0.99,1.00,1.00,1.00
Lebanon,0.81,0.84,0.88,0.88,0.90,
Libya,,,0.88,0.84,0.88,
Mauritania,0.35,0.42,0.41,0.44,0.44,
Morocco,0.65,0.84,0.84,0.88,0.91,
Oman,0.86,0.90,0.95,0.96,0.98,
Qatar,1.00,1.00,1.00,1.00,1.00,
Saudi Arabia,0.93,0.96,0.98,1.00,1.00,
Somalia,,,0.15,0.20,0.28,
State of Palestine,0.64,0.71,0.76,0.82,0.89,
Sudan,0.25,0.26,0.26,0.28,0.29,
Syrian Arab Republic,0.34,0.35,,,,
Tunisia,0.64,0.67,0.69,0.72,0.74,
United Arab Emirates,0.99,0.99,1.00,1.00,1.00,
Yemen,,,0.14,0.15,0.18,
