Economy,2018,2019,2020,2021,2022,2023
Albania,0.65,0.69,0.72,0.79,0.83,
Andorra,,0.91,0.93,0.94,0.95,
Austria,0.88,0.88,0.88,0.93,0.94,
Belgium,0.89,0.90,0.92,0.93,0.94,
Bosnia and Herzegovina,0.70,0.70,0.73,0.76,0.79,0.83
Bulgaria,0.65,0.68,0.70,0.75,0.79,
Croatia,0.75,0.79,0.78,0.81,0.82,
Cyprus,0.84,0.86,0.91,0.91,0.90,
Czech Republic,0.81,0.81,0.81,0.83,0.85,
Denmark,0.97,0.98,0.97,0.99,0.98,0.99
Estonia,0.89,0.90,0.89,0.91,0.91,
Finland,0.89,0.90,0.92,0.93,0.93,
France,0.82,0.83,0.85,0.86,0.85,
Georgia,0.63,0.69,0.73,0.76,0.79,
Germany,0.87,0.88,0.90,0.91,0.92,0.93
Greece,0.72,0.76,0.78,0.79,0.83,
Hungary,0.76,0.80,0.85,0.89,0.89,
Iceland,0.99,1.00,1.00,1.00,1.00,
Ireland,0.87,0.87,0.92,0.95,0.96,
Israel,0.84,0.87,0.90,0.90,0.92,
Italy,0.74,0.68,0.71,0.75,0.85,
Latvia,0.84,0.86,0.89,0.91,0.91,0.92
Liechtenstein,,0.93,0.94,0.96,0.97,
Lithuania,0.80,0.82,0.83,0.87,0.88,
Luxembourg,0.97,0.97,0.99,0.99,0.98,0.99
Malta,0.82,0.86,0.87,0.88,0.92,
Moldova,0.50,0.58,0.58,0.61,0.64,
Monaco,,0.83,0.99,0.98,0.98,
Montenegro,0.72,0.74,0.78,0.82,0.88,
Netherlands,0.92,0.93,0.91,0.92,0.93,
North Macedonia,0.79,0.81,0.81,0.83,0.84,
Norway,0.97,0.98,0.95,0.99,0.99,
Poland,0.78,0.80,0.83,0.85,0.87,
Portugal,0.75,0.75,0.78,0.82,0.85,
Romania,0.71,0.74,0.79,0.84,0.86,
San Marino,,0.68,0.78,0.82,0.85,
Serbia,0.73,0.77,0.78,0.81,0.84,
Slovakia,0.80,0.83,0.90,0.89,0.87,
Slovenia,0.80,0.83,0.87,0.89,0.89,
Spain,0.86,0.91,0.93,0.94,0.95,
Sweden,0.89,0.95,0.95,0.95,0.95,0.96
Switzerland,0.92,0.93,0.94,0.96,0.97,
Turkey,0.71,0.74,0.78,0.81,0.83,0.86
Ukraine,0.63,0.70,0.75,0.79,,
United Kingdom,0.91,0.93,0.95,0.95,0.95,
Vatican,,0.68,0.78,0.82,0.85,
