Economy,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.14,0.17,0.18,,,,
Albania,0.62,0.65,0.69,0.72,0.79,0.83,
Algeria,0.48,0.49,0.59,0.61,0.66,0.71,
Andorra,0.92,,0.91,0.93,0.94,0.95,
Angola,0.26,0.29,0.32,0.37,0.38,0.39,
Antigua and Barbuda,0.76,0.8,0.83,0.87,0.87,0.91,
Argentina,0.74,0.78,0.8,0.86,0.87,0.88,
Armenia,0.65,0.68,0.67,0.77,0.79,0.77,
Aruba,0.97,,,,,,
Australia,0.87,0.9,0.94,0.95,0.95,0.95,
Austria,0.88,0.88,0.88,0.88,0.93,0.94,
Azerbaijan,0.79,0.8,0.81,0.85,0.86,0.88,0.88
Bahamas,0.81,0.83,0.91,0.92,0.94,0.94,
Bahrain,0.96,0.99,1,1,1,1,
Bangladesh,0.22,0.26,0.3,0.36,0.39,0.42,0.45
Barbados,0.72,0.72,0.73,0.73,0.75,0.76,
Belarus,0.74,0.79,0.83,0.85,0.87,0.9,
Belgium,0.88,0.89,0.9,0.92,0.93,0.94,
Belize,0.47,0.5,0.53,0.57,0.65,0.7,
Benin,0.19,0.19,0.21,0.22,0.31,0.34,
Bhutan,0.54,0.64,0.74,0.77,0.86,0.87,
Bolivia,0.44,0.44,0.48,0.6,0.66,0.73,
Bosnia and Herzegovina,0.65,0.7,0.7,0.73,0.76,0.79,0.83
Botswana,0.41,0.58,0.65,0.68,0.75,0.77,
Brazil,0.68,0.7,0.74,0.81,0.81,0.81,
Brunei Darussalam,0.95,0.95,0.95,0.95,0.96,0.99,
Bulgaria,0.63,0.65,0.68,0.7,0.75,0.79,
Burkina Faso,0.08,0.09,0.09,0.16,0.18,0.2,
Burundi,0.03,0.04,0.06,0.09,0.1,0.11,
Cabo Verde,0.57,0.6,0.62,0.69,0.71,0.72,
Cambodia,0.33,,0.52,0.54,0.56,0.57,
Cameroon,0.23,0.3,0.37,0.41,0.43,0.44,
Canada,0.93,0.95,0.92,0.92,0.93,0.94,
Cayman Islands,0.81,,,,,,
Central African Rep.,0.04,0.05,0.08,,,,
Chad,0.06,0.07,0.08,0.08,0.11,0.12,
Chile,0.82,0.85,0.85,0.88,0.89,0.91,
China,0.54,0.59,0.64,0.7,0.73,0.76,
Colombia,0.62,0.64,0.65,0.7,0.73,0.73,
Comoros,0.08,,0.16,,,,
Congo,0.09,,,0.25,0.33,0.36,
Costa Rica,0.72,0.74,0.81,0.81,0.83,0.83,
Croatia,0.67,0.75,0.79,0.78,0.81,0.82,
Cuba,0.57,0.63,0.68,0.71,,0.73,
Curacao,0.68,,,,,,
Cyprus,0.81,0.84,0.86,0.91,0.91,0.9,
Czech Republic,0.79,0.81,0.81,0.81,0.83,0.85,
Cote d'Ivoire,0.44,0.38,0.36,0.36,0.39,0.38,
Dem. Rep. Congo,0.09,0.12,0.17,0.2,0.26,0.27,
Denmark,0.97,0.97,0.98,0.97,0.99,0.98,0.99
Djibouti,0.56,0.58,0.59,0.63,0.64,0.65,
Dominica,0.7,,0.73,0.76,0.82,0.83,
Dominican Rep.,0.68,0.75,0.8,0.82,0.85,0.89,
Ecuador,0.56,0.58,0.59,0.71,0.7,0.7,0.73
Egypt,0.45,0.47,0.57,0.72,0.72,0.72,
El Salvador,0.34,0.44,0.51,0.55,0.59,0.63,
Equatorial Guinea,0.26,,0.49,0.55,0.61,0.67,
Eritrea,,,,,,0.19,
Estonia,0.88,0.89,0.9,0.89,0.91,0.91,
Eswatini,0.35,0.39,0.44,0.49,0.56,0.58,
Ethiopia,0.16,0.16,0.16,0.16,0.17,0.19,
Faroe Islands,0.98,,,,,,
Fiji,0.66,0.69,0.77,0.83,0.82,0.85,
Finland,0.88,0.89,0.9,0.92,0.93,0.93,
France,0.81,0.82,0.83,0.85,0.86,0.85,
French Polynesia,0.73,,,,,,
Gabon,0.5,0.6,0.69,0.72,0.73,0.74,
Gambia,0.23,0.28,0.36,0.45,0.5,0.54,
Georgia,0.6,0.63,0.69,0.73,0.76,0.79,
Germany,0.84,0.87,0.88,0.9,0.91,0.92,0.93
Ghana,0.38,0.43,0.22,0.63,0.69,0.7,
Greece,0.7,0.72,0.76,0.78,0.79,0.83,
Greenland,0.7,,,,,,
