Economy,Value
Antigua and Barbuda,0.05
Argentina,0.06
Bahamas,0.02
Barbados,0.04
Belize,0.07
Bolivia (Plurinational State of),0.08
Brazil,0.03
Canada,0.01
Chile,0.02
Colombia,0.04
Costa Rica,0.02
Dominica,0.06
Dominican Rep.,0.03
Ecuador,0.05
El Salvador,0.07
Grenada,0.05
Guatemala,0.06
Guyana,0.04
Haiti,0.42
Honduras,0.13
Jamaica,0.09
Mexico,0.02
Nicaragua,0.13
Panama,0.04
Paraguay,0.04
Peru,0.03
Saint Kitts and Nevis,0.03
Saint Lucia,0.05
Saint Vincent and the Grenadines,0.07
Suriname,0.04
Trinidad and Tobago,0.03
United States,0.01
Uruguay,0.02
