Economy,Indicator,2017,2018,2019,2020,2021,2022,2023
Afghanistan,At least 2G,0.90,0.90,0.90,0.90,0.91,0.92,
Afghanistan,At least 3G,0.46,0.55,0.57,0.57,0.58,,
Afghanistan,At least LTE/WiMAX,0.04,0.07,0.22,0.26,0.26,,
Afghanistan,At least 5G,,,,,0.00,,
Albania,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Albania,At least 3G,0.99,0.99,0.99,0.99,0.99,0.99,
Albania,At least LTE/WiMAX,0.85,0.86,0.95,0.98,0.99,0.99,
Albania,At least 5G,,,,,0.00,0.00,
Algeria,At least 2G,0.98,0.98,0.99,0.99,0.98,,
Algeria,At least 3G,0.90,0.98,0.98,0.99,0.98,0.98,
Algeria,At least LTE/WiMAX,0.31,0.53,0.54,0.76,0.80,0.86,
Algeria,At least 5G,,0.00,0.00,0.00,0.00,0.00,
American Samoa,At least 2G,,,,,,,
American Samoa,At least 3G,,,0.93,0.93,0.93,,
American Samoa,At least LTE/WiMAX,,,,,,,
American Samoa,At least 5G,,,,,0.00,,
Andorra,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Andorra,At least 3G,0.98,0.98,0.98,1.00,1.00,1.00,
Andorra,At least LTE/WiMAX,0.85,0.85,0.85,0.89,0.93,0.97,
Andorra,At least 5G,,,,,0.85,0.92,
Angola,At least 2G,0.90,0.90,0.90,0.90,1.00,1.00,
Angola,At least 3G,0.85,0.85,0.85,0.87,0.87,0.87,
Angola,At least LTE/WiMAX,0.08,0.08,0.18,0.30,0.33,0.58,
Angola,At least 5G,,,,,,,
Anguilla,At least 2G,,,0.99,0.99,0.99,,
Anguilla,At least 3G,,,0.99,0.99,0.99,,
Anguilla,At least LTE/WiMAX,,,,,,,
Anguilla,At least 5G,,,,,0.00,,
Antigua and Barbuda,At least 2G,0.99,,0.99,0.99,0.99,,
Antigua and Barbuda,At least 3G,0.99,,0.99,0.99,0.99,,
Antigua and Barbuda,At least LTE/WiMAX,0.99,,0.99,0.99,0.99,,
Antigua and Barbuda,At least 5G,–,,,,0.00,,
Argentina,At least 2G,0.98,0.98,0.98,0.99,0.99,0.99,
Argentina,At least 3G,0.95,0.95,0.95,0.99,0.99,0.99,
Argentina,At least LTE/WiMAX,0.85,0.91,0.91,0.98,0.98,0.98,
Argentina,At least 5G,,,,,,,
Armenia,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Armenia,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Armenia,At least LTE/WiMAX,0.90,0.99,0.99,1.00,1.00,1.00,
Armenia,At least 5G,,,,,0.00,0.00,
Aruba,At least 2G,,,0.99,0.99,0.99,,
Aruba,At least 3G,,,0.95,0.95,0.95,,
Aruba,At least LTE/WiMAX,,,0.64,0.64,0.64,,
Aruba,At least 5G,,,,,0.00,,
Ascension,At least 2G,1.00,,,,,,
Ascension,At least 3G,1.00,1.00,1.00,1.00,1.00,,
Ascension,At least LTE/WiMAX,,,,,1.00,,
Ascension,At least 5G,,,,,,,
Australia,At least 2G,0.99,0.99,1.00,1.00,1.00,1.00,
Australia,At least 3G,0.99,0.99,1.00,1.00,1.00,1.00,
Australia,At least LTE/WiMAX,0.99,0.99,0.99,1.00,1.00,1.00,
Australia,At least 5G,,,,0.50,0.78,0.84,
Austria,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Austria,At least 3G,0.98,0.98,0.98,0.98,0.98,0.98,
Austria,At least LTE/WiMAX,0.98,0.98,0.98,0.98,0.98,0.98,
Austria,At least 5G,,,,0.55,0.82,0.92,
Azerbaijan,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Azerbaijan,At least 3G,0.96,0.97,0.98,0.98,1.00,1.00,
Azerbaijan,At least LTE/WiMAX,0.42,0.49,0.93,0.93,0.94,0.94,
Azerbaijan,At least 5G,,,,0.00,0.00,0.00,
Bahamas,At least 2G,0.99,0.99,0.99,0.99,0.99,0.99,
Bahamas,At least 3G,0.98,0.98,0.98,0.98,0.98,0.98,
Bahamas,At least LTE/WiMAX,0.95,0.95,0.95,0.95,0.95,0.95,
Bahamas,At least 5G,,,,,0.00,,
Bahrain,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Bahrain,At least 3G,1.00,1.00,1.00,1.00,1.00,1.00,
Bahrain,At least LTE/WiMAX,1.00,1.00,1.00,1.00,1.00,1.00,
Bahrain,At least 5G,,,,1.00,1.00,1.00,
Bangladesh,At least 2G,1.00,1.00,1.00,1.00,1.00,1.00,
Bangladesh,At least 3G,0.93,0.95,0.95,0.98,0.98,0.99,
