Economy,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"704,000,000","665,000,000","644,000,000",NaN,NaN,"339,000,000",
Albania,"178,000,000","223,000,000","230,000,000","218,000,000","260,000,000","249,000,000",
Algeria,"4,040,000,000","3,500,000,000","3,720,000,000","3,190,000,000","3,160,000,000","3,310,000,000",
Andorra,"107,000,000","104,000,000",NaN,NaN,NaN,NaN,
Angola,"2,120,000,000",NaN,"1,010,000,000","649,000,000","789,000,000",,
Argentina,"17,400,000,000","13,200,000,000","11,100,000,000","9,960,000,000","10,200,000,000","11,100,000,000",
Armenia,"245,000,000","262,000,000","247,000,000","234,000,000","250,000,000","294,000,000",
Australia,"33,600,000,000","34,600,000,000","32,400,000,000","31,600,000,000","33,000,000,000","30,300,000,000",
Austria,"4,100,000,000","4,340,000,000","4,160,000,000","4,290,000,000","4,530,000,000","4,150,000,000",
Azerbaijan,"1,010,000,000","1,120,000,000","1,310,000,000","1,320,000,000","1,410,000,000",NaN,
Bahamas,"409,000,000","378,000,000",NaN,NaN,"349,000,000","371,000,000",
Bahrain,"1,130,000,000","1,150,000,000","1,190,000,000","1,220,000,000","1,290,000,000",,
Bangladesh,"3,790,000,000","3,790,000,000","4,630,000,000","4,720,000,000","4,850,000,000","4,520,000,000",
Barbados,"163,000,000","233,000,000",NaN,NaN,NaN,NaN,
Belarus,"1,280,000,000","1,340,000,000","1,450,000,000","1,290,000,000","1,530,000,000",NaN,
Belgium,"6,850,000,000","7,230,000,000","6,850,000,000","7,090,000,000","7,410,000,000","6,630,000,000",
Belize,"65,500,000",NaN,NaN,NaN,NaN,NaN,
Benin,"446,000,000","443,000,000","446,000,000","473,000,000","524,000,000","534,000,000",
Bhutan,"6,940,000","74,300,000","80,500,000","99,000,000",NaN,"101,000,000",
Bolivia,"1,960,000,000","1,870,000,000","1,410,000,000","1,230,000,000","1,280,000,000",NaN,
Bosnia and Herzegovina,"772,000,000","724,000,000","710,000,000","723,000,000","745,000,000",NaN,
Botswana,"486,000,000","184,000,000","195,000,000","293,000,000","229,000,000","249,000,000",
Brazil,"35,200,000,000","30,200,000,000","32,700,000,000","24,100,000,000","22,500,000,000","24,500,000,000",
British Virgin Islands,"61,700,000","37,300,000",NaN,NaN,NaN,NaN,
Brunei Darussalam,"251,000,000","259,000,000","257,000,000",NaN,NaN,NaN,
Bulgaria,"1,210,000,000","1,350,000,000","1,330,000,000","1,400,000,000","1,560,000,000","1,480,000,000",
Burkina Faso,"467,000,000","635,000,000",NaN,"666,000,000",NaN,NaN,
Burundi,"87,700,000","98,500,000","98,200,000","95,400,000","102,000,000",NaN,
Cabo Verde,"84,000,000","110,000,000","53,300,000","85,100,000","75,000,000",NaN,
