Economy,2017,2018,2019,2020,2021,2022
Afghanistan,704000000,665000000,644000000,,,339000000
Albania,178000000,223000000,230000000,218000000,260000000,249000000
Algeria,4040000000,3500000000,3720000000,3190000000,3160000000,3310000000
Andorra,107000000,104000000,,,,
Angola,2120000000,,1010000000,649000000,789000000,
Antigua and Barbuda,3.38E+07,3.38E+07,3.38E+07,3.38E+07,3.38E+07,3.38E+07
Argentina,17400000000,13200000000,11100000000,9960000000,10200000000,11100000000
Armenia,245000000,262000000,247000000,234000000,250000000,294000000
Aruba,7.83E+07,7.83E+07,7.83E+07,7.83E+07,7.83E+07,7.83E+07
Australia,33600000000,34600000000,32400000000,31600000000,33000000000,30300000000
Austria,4100000000,4340000000,4160000000,4290000000,4530000000,4150000000
Azerbaijan,1010000000,1120000000,1310000000,1320000000,1410000000,
Bahamas,409000000,378000000,,,349000000,371000000
Bahrain,1130000000,1150000000,1190000000,1220000000,1290000000,
Bangladesh,3790000000,3790000000,4630000000,4720000000,4850000000,4520000000
Barbados,163000000,233000000,,,,
Belarus,1280000000,1340000000,1450000000,1290000000,1530000000,
Belgium,6850000000,7230000000,6850000000,7090000000,7410000000,6630000000
Belize,65500000,,,,,
Benin,446000000,443000000,446000000,473000000,524000000,534000000
Bhutan,6940000,74300000,80500000,99000000,,101000000
Bolivia,1960000000,1870000000,1410000000,1230000000,1280000000,
Bosnia and Herzegovina,772000000,724000000,710000000,723000000,745000000,
Botswana,486000000,184000000,195000000,293000000,229000000,249000000
Brazil,35200000000,30200000000,32700000000,24100000000,22500000000,24500000000
Brunei Darussalam,251000000,259000000,257000000,,,
Bulgaria,1210000000,1350000000,1330000000,1400000000,1560000000,1480000000
Burkina Faso,467000000,635000000,,666000000,,
Burundi,87700000,98500000,98200000,95400000,102000000,
Cabo Verde,84000000,110000000,53300000,85100000,75000000,
Cambodia,,771000000,551000000,927000000,886000000,
Cameroon,997000000,1090000000,1030000000,1080000000,1160000000,999000000
Canada,38800000000,41000000000,40900000000,39800000000,44000000000,43900000000
Cayman Islands,175000000,,,,,
Central African Rep.,73800000,78000000,76300000,,,
Chad,261000000,244000000,235000000,259000000,320000000,306000000
Chile,5.75E+09,5.75E+09,5.75E+09,5.75E+09,5.75E+09,5.75E+09
China,1.87E+11,1.97E+11,1.9E+11,1.98E+11,2.29E+11,2.35E+11
Colombia,7320000000,7450000000,6790000000,6100000000,6500000000,5590000000
Comoros,8500000000,17500000000,19200000000,,57700000000,55800000000
Congo,,,324000000,321000000,337000000,
Costa Rica,1560000000,1580000000,1570000000,1530000000,1440000000,1380000000
Croatia,1410000000,1510000000,1470000000,1450000000,1560000000,1460000000
Cuba,1.13E+08,1.13E+08,1.13E+08,1.13E+08,1.13E+08,1.13E+08
Curacao,,,,,140000000,
Cyprus,567000000,593000000,585000000,605000000,634000000,
Czech Republic,3260000000,3450000000,3360000000,3390000000,3800000000,3390000000
Cote d'Ivoire,1790000000,1860000000,1560000000,1710000000,1900000000,1750000000
Dem. Rep. Congo,1330000000,1320000000,1480000000,1730000000,2130000000,
Denmark,5060000000,5340000000,4960000000,4900000000,5210000000,4790000000
Djibouti,57800000,119000000,133000000,145000000,159000000,179000000
Dominica,36700000,,,,,
Dominican Rep.,1830000000,1750000000,1680000000,1530000000,1620000000,
Ecuador,3070000000,2680000000,3840000000,,2520000000,
Egypt,3630000000,4200000000,4980000000,6030000000,7010000000,
El Salvador,3.69E+08,3.69E+08,3.69E+08,3.69E+08,3.69E+08,3.69E+08
Equatorial Guinea,3.05E+03,3.05E+03,3.05E+03,3.05E+03,3.05E+03,3.05E+03
Estonia,600000000,546000000,447000000,465000000,491000000,455000000
Eswatini,,,,,147000000,139000000
Ethiopia,1620000000,,,,,
Faroe Islands,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07
Fiji,,208000000,194000000,166000000,,
Finland,3360000000,3530000000,3330000000,3360000000,3100000000,2880000000
France,35300000000,36700000000,33700000000,,37400000000,33800000000
French Polynesia,232000000,135000000,,,,
Gabon,382000000,392000000,359000000,423000000,417000000,
Gambia,8.96E+07,8.96E+07,8.96E+07,8.96E+07,8.96E+07,8.96E+07
Georgia,313000000,333000000,324000000,295000000,328000000,412000000
Germany,46100000000,48700000000,46100000000,49300000000,52200000000,46900000000
Ghana,1270000000,1290000000,2390000000,1540000000,1390000000,
Greece,5560000000,5760000000,5610000000,5530000000,5910000000,5330000000
Greenland,7.97E+07,7.97E+07,7.97E+07,7.97E+07,7.97E+07,7.97E+07
Grenada,6.12E+07,6.12E+07,6.12E+07,6.12E+07,6.12E+07,6.12E+07
Guatemala,4.48E+08,4.48E+08,4.48E+08,4.48E+08,4.48E+08,4.48E+08
Guinea,,506000000,,,,
Guinea-Bissau,116000,114000,107000,108000,123000,110000
Guyana,140000000,,,,,
Haiti,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08,2.46E+08
Honduras,877000000,873000000,895000000,855000000,939000000,980000000
Hong Kong,13300000000,13800000000,14500000000,14200000000,15200000000,
Hungary,2770000000,2970000000,2930000000,2720000000,3470000000,
Iceland,264000000,251000000,218000000,198000000,205000000,217000000
India,36900000000,30200000000,26600000000,29100000000,31980000000,32500000000
Indonesia,17500000000,18600000000,19200000000,19200000000,17600000000,21200000000
Iran,8060000000,7620000000,9070000000,12900000000,16600000000,
Iraq,2710000000,,,,,
Ireland,3560000000,4170000000,3900000000,3970000000,4100000000,3730000000
