Country Name,2017,2018,2019,2020,2021,2022
Afghanistan,530,520,520,490,380,
Albania,4290,4860,5230,5270,6100,6770
Algeria,3970,4010,4050,3610,3680,3920
Andorra,,,46530,42280,44350,
Angola,2090,1970,2110,1690,1640,1880
Antigua and Barbuda,15710,17290,18000,15080,16430,19050
Argentina,13140,12430,11220,9010,9980,11590
Armenia,4070,4410,4880,4470,4850,5960
Aruba,27960,28910,29450,23340,30180,33410
Australia,51530,53150,54970,53630,57240,60840
Austria,45040,48980,51000,48980,53150,55720
Azerbaijan,4110,4080,4510,4480,4910,5660
Bahamas,28400,29550,30440,23040,27870,31520
Bahrain,21790,23210,24420,22960,24720,27720
Bangladesh,1650,2020,2210,2300,2570,2820
Barbados,16530,17110,17680,16420,16710,19490
Belarus,5320,5730,6370,6410,7040,7210
Belgium,42520,46060,48100,46100,51060,53890
Belize,5470,5600,5820,5120,6040,6630
Benin,1050,1150,1200,1230,1330,1400
Bermuda,112940,117000,117280,111800,120020,125210
Bhutan,2820,3070,3360,3030,3290,
Bolivia,3020,3290,3440,3120,3290,3490
Bosnia and Herzegovina,5050,5700,6160,6120,6900,7660
Botswana,5860,6270,6630,6130,6900,7430
Brazil,8670,9140,9220,7910,7850,8140
Brunei Darussalam,29400,29030,31880,31210,30320,31410
Bulgaria,7620,8530,9500,9530,11050,13350
Burkina Faso,650,730,750,770,830,850
Burundi,250,240,230,220,220,240
Cabo Verde,3280,3630,3930,3100,3340,3950
Cambodia,1260,1420,1560,1530,1580,1690
Cameroon,1400,1500,1540,1520,1590,1640
Canada,42900,45070,46600,43920,48800,53310
Cayman Islands,52670,58820,65690,57280,62000,
Central African Rep.,400,450,470,460,480,480
Chad,640,670,690,660,660,690
Chile,13330,14610,14830,13020,14800,15360
China,8670,9540,10310,10520,11950,12850
Colombia,6010,6320,6590,5800,6220,6500
Comoros,1370,1480,1520,1520,1580,1610
Congo,2290,2330,2700,2280,2220,2290
Costa Rica,11400,11880,12040,11500,12380,12920
Croatia,13070,14370,15410,14700,17750,19600
Cuba,7950,8630,8920,,,
Curacao,18230,18820,19140,16300,18060,
Cyprus,25020,27390,28560,26880,29490,31520
Czech Republic,18310,20560,22120,21800,24530,26100
Cote d'Ivoire,2010,2160,2280,2290,2470,2620
Dem. Rep. Congo,440,480,510,540,560,610
Denmark,56690,61260,63140,62540,69780,73520
Djibouti,2590,2750,2940,2940,3160,3310
Dominica,7380,7890,8240,7140,7790,8430
Dominican Republic,7000,7680,7990,7170,8100,9050
Ecuador,5890,6110,6100,5530,5960,6300
Egypt,2940,2760,2690,3010,3520,4100
El Salvador,3670,3900,4090,3780,4360,4720
Equatorial Guinea,5660,5860,5520,5150,5190,5240
Eritrea,,,,,,1610
Estonia,18760,21180,23150,23470,26270,27120
Eswatini,3310,3550,3620,3350,3740,3750
Ethiopia,720,780,830,880,940,1020
Faroe Islands,57880,62940,66090,64460,69840,74420
Fiji,5120,5680,5590,4650,4490,5390
Finland,44840,48210,49940,50030,53270,54890
France,38320,41170,42460,39250,43810,45290
French Polynesia,,,,,,18560
Gabon,6280,6610,6950,6830,6440,7530
Gambia,610,670,700,700,740,800
Georgia,4040,4460,4690,4260,4700,5600
Germany,43760,47490,49410,47970,52050,54030
Ghana,1820,2050,2150,2230,2280,2380
Greece,17960,19080,19690,17920,20010,21810
Greenland,,,,,,34800
Grenada,8020,8740,8900,7860,8410,9070
Guatemala,4100,4400,4620,4490,4930,5350
Guinea,810,850,940,950,990,1190
Guinea-Bissau,660,700,780,740,760,820
Guyana,6000,6240,6500,8110,9340,14920
Haiti,1360,1420,1410,1330,1440,1610
Honduras,2200,2280,2330,2150,2480,2750
Hong Kong,46380,50050,50480,48550,54370,54370
Hungary,13180,14980,16570,16030,17740,19010
Iceland,60230,67770,72970,62130,63180,68660
India,1800,1980,2080,1900,2150,2390
Indonesia,3530,3850,4070,3900,4170,4580
Iran,5490,4880,3990,3270,3510,3980
Iraq,4400,4780,5470,4670,4670,5270
Ireland,53660,59490,63570,66010,76270,79730
Isle of Man,77920,83460,84490,79300,,
Israel,38210,41520,43800,43120,49350,55140
Italy,31380,33850,34910,32440,36420,38200
Jamaica,4940,5230,5500,4900,5190,5760
Japan,38930,41800,41970,40940,43670,42550
Jordan,3920,4090,4180,4050,4210,4350
Kazakhstan,8040,8070,8820,8710,8880,9620
Kenya,1550,1730,1890,1900,2080,2170
Kiribati,2790,2990,3220,2680,2740,2810
North Korea,,,,,,598
South Korea,30290,32740,33830,33040,35200,36190
Kosovo,3950,4300,4640,4440,5130,5660
Kuwait,30870,32300,34660,31530,34850,40600
Kyrgyzstan,1110,1220,1270,1240,1280,1440
Laos,2240,2470,2520,2470,2510,2310
Latvia,14870,16560,17580,17900,19910,21850
Lebanon,8330,8750,8650,6400,4970,
Lesotho,1150,1240,1300,1160,1170,1230
Liberia,630,620,610,600,630,680
Libya,10310,11630,10680,7400,7880,7260
Liechtenstein,,,,,,
Lithuania,15280,17470,19090,19700,21850,23870
Luxembourg,75800,79770,79180,80980,87610,89200
Macao,68110,73830,72820,44420,46350,43680
Madagascar,460,490,510,460,490,510
Malawi,480,500,550,580,620,640
Malaysia,9680,10360,10960,10320,10740,11830
Maldives,9120,9880,10400,6890,9350,10880
Mali,730,800,820,790,820,850
Malta,24660,27610,29330,26480,30770,32860
Marshall Islands,5220,5940,6640,6480,6520,7270
Mauritania,1570,1710,1750,1760,1860,2080
Mauritius,10560,11910,12440,10220,10280,10360
Mexico,9310,9610,9930,8960,9920,10820
Micronesia,3490,3450,4040,4050,4020,4140
Moldova,3300,3850,4490,4360,5270,5500
Monaco,,,,,,240535
Mongolia,3250,3700,3840,3720,3730,4260
Montenegro,7410,8450,9140,7900,9370,10480
Morocco,3160,3380,3500,3260,3620,3670
Mozambique,470,460,490,460,450,440
Myanmar,1220,1300,1370,1310,1230,1270
Namibia,4700,5000,5270,4650,4660,5010
Nauru,11100,13020,15550,16500,18010,17800
Nepal,970,1110,1220,1180,1230,1340
Netherlands,46270,50540,51930,50170,58170,60230
New Caledonia,,,37170,36580,37370,
New Zealand,38860,41680,43110,41590,45770,49090
Nicaragua,2000,1940,1880,1760,1970,2090
Niger,510,570,590,550,590,580
Nigeria,2090,2020,2110,2110,2160,2160
North Macedonia,4940,5500,5890,5730,6280,6660
Norway,76230,80970,82430,78610,81670,94540
Oman,16620,17250,17820,17090,17960,20020
Pakistan,1490,1610,1570,1420,1470,1560
Palau,16430,15980,16180,15130,13420,
Panama,13770,14820,15330,12930,14590,16960
Papua New Guinea,2330,2330,2430,2420,2430,2700
Paraguay,5800,6040,5940,5540,5740,5920
Peru,6030,6430,6770,6000,6420,6740
Philippines,3480,3640,3770,3350,3550,3950
Poland,12690,14180,15330,15300,16910,18900
Portugal,20060,22060,23200,21850,23960,25950
Puerto Rico,20000,21010,22040,21200,22460,24560
Qatar,57190,59150,61750,58440,62400,70120
Romania,10030,11520,12670,12710,14190,15570
Russia,9210,10250,11280,10750,11760,12750
Rwanda,720,770,810,760,840,930
Saint Kitts and Nevis,20020,21510,23450,19180,18430,20020
Saint Lucia,10200,10980,11040,8750,10280,12400
Saint Vincent and the Grenadines,7750,8350,8640,8330,8490,9110
Samoa,4050,4060,4230,4020,3820,3660
San Marino,39740,42250,44390,41450,47120,
Sao Tome and Principe,1430,1650,1800,2010,2210,2400
Saudi Arabia,20090,21880,23180,22430,24030,27680
Senegal,1300,1420,1460,1470,1560,1620
Serbia,5570,6410,7040,7440,8470,9290
Seychelles,17130,15230,16160,13490,13210,12010
Sierra Leone,520,510,520,490,510,600
Singapore,54920,56560,58910,55260,63000,67200
Slovakia,16670,18400,19200,19250,20670,22070
Slovenia,22140,24650,26060,25480,28370,29590
Solomon Islands,2150,2320,2390,2340,2290,2210
Somalia,540,550,570,540,580,600
South Africa,5950,6390,6740,6110,6540,6780
S. Sudan,,,,,,410
Spain,27120,29330,30360,27180,30090,32090
Sri Lanka,4210,4360,4220,3880,4000,3610
State of Palestine,,,,,,4610
Sudan,2430,1390,940,630,650,760
Suriname,5770,5790,6020,4500,4490,4970
Sweden,53050,55700,56470,54820,60700,63500
Switzerland,80770,82470,83160,81740,90810,95490
Sint Maarten (Dutch part),31670,30240,33050,28530,30830,35260
Syrian Arab Republic,730,820,980,780,560,
Taiwan,,,,,,33565
Tajikistan,1020,1020,1070,1050,1160,1210
Tanzania,950,1000,1040,1050,1120,1200
Thailand,5820,6450,7080,6920,7090,7230
Timor-Leste,1800,1820,2420,2560,2390,1980
Togo,790,850,880,890,950,1010
Tonga,4440,4710,5130,5200,4930,
Trinidad and Tobago,15640,15430,15740,13670,14850,16190
Tunisia,3650,3650,3540,3220,3560,3830
Turkmenistan,6160,6500,7130,,,
Turks and Caicos Islands,24850,26420,26960,20270,23010,25240
Tuvalu,5350,6160,6650,6470,6830,7160
Turkey,11090,10650,9800,9160,10010,10640
Uganda,760,770,810,820,850,930
Ukraine,2360,2750,3310,3570,4110,4260
